sex,region,year,births
Женщины,Самарская область,2020,13609
Женщины,Саратовская область,2015,13872
Женщины,Саратовская область,2016,13153
Женщины,Саратовская область,2017,11336
Женщины,Саратовская область,2018,10733
Женщины,Саратовская область,2019,9801
Женщины,Саратовская область,2020,9034
Женщины,Ульяновская область,2015,7336
Женщины,Ульяновская область,2016,7027
Женщины,Ульяновская область,2017,6112
Женщины,Ульяновская область,2018,5761
Женщины,Ульяновская область,2019,5303
Женщины,Ульяновская область,2020,5045
Женщины,Курганская область,2015,5732
Женщины,Курганская область,2016,5195
Женщины,Курганская область,2017,4664
Женщины,Курганская область,2018,4148
Женщины,Курганская область,2019,3673
Женщины,Курганская область,2020,3533
Женщины,Свердловская область,2015,30281
Женщины,Свердловская область,2016,29019
Женщины,Свердловская область,2017,26069
Женщины,Свердловская область,2018,24127
Женщины,Свердловская область,2019,22404
Женщины,Свердловская область,2020,21493
Женщины,Ханты-Мансийский автономный округ — Югра,2015,13198
Женщины,Ханты-Мансийский автономный округ — Югра,2016,12364
Женщины,Ханты-Мансийский автономный округ — Югра,2017,11377
Женщины,Ханты-Мансийский автономный округ — Югра,2018,10822
Женщины,Ханты-Мансийский автономный округ — Югра,2019,10098
Женщины,Ханты-Мансийский автономный округ — Югра,2020,10098
Женщины,Ямало-Ненецкий автономный округ,2015,4371
Женщины,Ямало-Ненецкий автономный округ,2016,3941
Женщины,Ямало-Ненецкий автономный округ,2017,3615
Женщины,Ямало-Ненецкий автономный округ,2018,3546
Женщины,Ямало-Ненецкий автономный округ,2019,3383
Женщины,Ямало-Ненецкий автономный округ,2020,3427
Женщины,Тюменская область,2015,11884
Женщины,Тюменская область,2016,11258
Женщины,Тюменская область,2017,10435
Женщины,Тюменская область,2018,10109
Женщины,Тюменская область,2019,9287
Женщины,Тюменская область,2020,9193
Женщины,Челябинская область,2015,23611
Женщины,Челябинская область,2016,22710
Женщины,Челябинская область,2017,19642
Женщины,Челябинская область,2018,18299
Женщины,Челябинская область,2019,16702
Женщины,Челябинская область,2020,15973
Женщины,Республика Алтай,2015,1898
Женщины,Республика Алтай,2016,1861
Женщины,Республика Алтай,2017,1654
Женщины,Республика Алтай,2018,1625
Женщины,Республика Алтай,2019,1500
Женщины,Республика Алтай,2020,1351
Женщины,Республика Тыва,2015,3623
Женщины,Республика Тыва,2016,3490
Женщины,Республика Тыва,2017,3357
Женщины,Республика Тыва,2018,3135
Женщины,Республика Тыва,2019,2995
Женщины,Республика Тыва,2020,3276
Женщины,Республика Хакасия,2015,3842
Женщины,Республика Хакасия,2016,3636
Женщины,Республика Хакасия,2017,3262
Женщины,Республика Хакасия,2018,2992
Женщины,Республика Хакасия,2019,2679
Женщины,Республика Хакасия,2020,2611
Женщины,Алтайский край,2015,14685
Женщины,Алтайский край,2016,14181
Женщины,Алтайский край,2017,12377
Женщины,Алтайский край,2018,11304
Женщины,Алтайский край,2019,10209
Женщины,Алтайский край,2020,9624
Женщины,Красноярский край,2015,20019
Женщины,Красноярский край,2016,19471
Женщины,Красноярский край,2017,17248
Женщины,Красноярский край,2018,16271
Женщины,Красноярский край,2019,14685
Женщины,Красноярский край,2020,14082
Женщины,Иркутская область,2015,17957
Женщины,Иркутская область,2016,17053
Женщины,Иркутская область,2017,15805
Женщины,Иркутская область,2018,14837
Женщины,Иркутская область,2019,13718
Женщины,Иркутская область,2020,13094
Женщины,Кемеровская область — Кузбасс,2015,16629
Женщины,Кемеровская область — Кузбасс,2016,15751
Женщины,Кемеровская область — Кузбасс,2017,13937
Женщины,Кемеровская область — Кузбасс,2018,13041
Женщины,Кемеровская область — Кузбасс,2019,11539
Женщины,Кемеровская область — Кузбасс,2020,11014
Женщины,Новосибирская область,2015,19054
Женщины,Новосибирская область,2016,18628
Женщины,Новосибирская область,2017,16800
Женщины,Новосибирская область,2018,15753
Женщины,Новосибирская область,2019,14557
Женщины,Новосибирская область,2020,14134
Женщины,Омская область,2015,13843
Женщины,Омская область,2016,12809
Женщины,Омская область,2017,11050
Женщины,Омская область,2018,10252
Женщины,Омская область,2019,9301
Женщины,Омская область,2020,8808
Женщины,Томская область,2015,7199
Женщины,Томская область,2016,6961
Женщины,Томская область,2017,6342
Женщины,Томская область,2018,5660
Женщины,Томская область,2019,5193
Женщины,Томская область,2020,4736
Женщины,Республика Бурятия,2015,8202
Женщины,Республика Бурятия,2016,7904
Женщины,Республика Бурятия,2017,6894
Женщины,Республика Бурятия,2018,6710
Женщины,Республика Бурятия,2019,6049
Женщины,Республика Бурятия,2020,6213
Женщины,Забайкальский край,2015,8117
Женщины,Забайкальский край,2016,7655
Женщины,Забайкальский край,2017,7085
Женщины,Забайкальский край,2018,6562
Женщины,Забайкальский край,2019,6154
Женщины,Забайкальский край,2020,6058
Женщины,Республика Саха (Якутия),2015,8065
Женщины,Республика Саха (Якутия),2016,7533
Женщины,Республика Саха (Якутия),2017,6746
Женщины,Республика Саха (Якутия),2018,6534
Женщины,Республика Саха (Якутия),2019,6260
Женщины,Республика Саха (Якутия),2020,6439
Женщины,Камчатский край,2015,2028
Женщины,Камчатский край,2016,1954
Женщины,Камчатский край,2017,1845
Женщины,Камчатский край,2018,1697
Женщины,Камчатский край,2019,1622
Женщины,Камчатский край,2020,1573
Женщины,Приморский край,2015,11967
Женщины,Приморский край,2016,11445
Женщины,Приморский край,2017,10134
Женщины,Приморский край,2018,9663
Женщины,Приморский край,2019,8793
Женщины,Приморский край,2020,8564
Женщины,Хабаровский край,2015,9270
Женщины,Хабаровский край,2016,8723
Женщины,Хабаровский край,2017,7839
Женщины,Хабаровский край,2018,7297
Женщины,Хабаровский край,2019,7055
Женщины,Хабаровский край,2020,6713
Женщины,Амурская область,2015,5302
Женщины,Амурская область,2016,5020
Женщины,Амурская область,2017,4624
Женщины,Амурская область,2018,4241
Женщины,Амурская область,2019,3897
Женщины,Амурская область,2020,3825
Женщины,Магаданская область,2015,819
Женщины,Магаданская область,2016,758
Женщины,Магаданская область,2017,761
Женщины,Магаданская область,2018,697
Женщины,Магаданская область,2019,634
Женщины,Магаданская область,2020,657
Женщины,Сахалинская область,2015,3262
Женщины,Сахалинская область,2016,3418
Женщины,Сахалинская область,2017,3079
Женщины,Сахалинская область,2018,2897
Женщины,Сахалинская область,2019,2808
Женщины,Сахалинская область,2020,2711
Женщины,Еврейская автономная область,2015,1134
Женщины,Еврейская автономная область,2016,1096
Женщины,Еврейская автономная область,2017,941
Женщины,Еврейская автономная область,2018,919
Женщины,Еврейская автономная область,2019,795
Женщины,Еврейская автономная область,2020,779
Женщины,Чукотский автономный округ,2015,353
Женщины,Чукотский автономный округ,2016,313
Женщины,Чукотский автономный округ,2017,316
Женщины,Чукотский автономный округ,2018,302
Женщины,Чукотский автономный округ,2019,270
Женщины,Чукотский автономный округ,2020,269
Мужчины,Белгородская область,2015,9163
Мужчины,Белгородская область,2016,8878
Мужчины,Белгородская область,2017,7879
Мужчины,Белгородская область,2018,7355
Мужчины,Белгородская область,2019,6889
Мужчины,Белгородская область,2020,6277
Мужчины,Брянская область,2015,7369
Мужчины,Брянская область,2016,6802
Мужчины,Брянская область,2017,5884
Мужчины,Брянская область,2018,5769
Мужчины,Брянская область,2019,5110
Мужчины,Брянская область,2020,4951
Мужчины,Владимирская область,2015,8345
Мужчины,Владимирская область,2016,8133
Мужчины,Владимирская область,2017,6815
Мужчины,Владимирская область,2018,6414
Мужчины,Владимирская область,2019,5684
Мужчины,Владимирская область,2020,5244
Мужчины,Воронежская область,2015,13405
Мужчины,Воронежская область,2016,12875
Мужчины,Воронежская область,2017,11508
Мужчины,Воронежская область,2018,10989
Мужчины,Воронежская область,2019,10184
Мужчины,Воронежская область,2020,9763
Мужчины,Ивановская область,2015,6073
Мужчины,Ивановская область,2016,5744
Мужчины,Ивановская область,2017,5121
Мужчины,Ивановская область,2018,4728
Мужчины,Ивановская область,2019,4107
Мужчины,Ивановская область,2020,3834
Мужчины,Калужская область,2015,6580
Мужчины,Калужская область,2016,6229
Мужчины,Калужская область,2017,5598
Мужчины,Калужская область,2018,5322
Мужчины,Калужская область,2019,4621
Мужчины,Калужская область,2020,4591
Мужчины,Костромская область,2015,4200
Мужчины,Костромская область,2016,3977
Мужчины,Костромская область,2017,3571
Мужчины,Костромская область,2018,3276
Мужчины,Костромская область,2019,2958
Мужчины,Костромская область,2020,2725
Мужчины,Курская область,2015,6614
Мужчины,Курская область,2016,6348
Мужчины,Курская область,2017,5508
Мужчины,Курская область,2018,5271
Мужчины,Курская область,2019,4760
Мужчины,Курская область,2020,4763
Мужчины,Липецкая область,2015,6891
Мужчины,Липецкая область,2016,6707
Мужчины,Липецкая область,2017,5969
Мужчины,Липецкая область,2018,5610
Мужчины,Липецкая область,2019,5018
Мужчины,Липецкая область,2020,4941
Мужчины,Московская область,2015,48400
Мужчины,Московская область,2016,49568
Мужчины,Московская область,2017,45841
Мужчины,Московская область,2018,42890
Мужчины,Московская область,2019,37282
Мужчины,Московская область,2020,40799
Мужчины,Орловская область,2015,4447
Мужчины,Орловская область,2016,4306
Мужчины,Орловская область,2017,3593
Мужчины,Орловская область,2018,3482
Мужчины,Орловская область,2019,3030
Мужчины,Орловская область,2020,2986
Мужчины,Рязанская область,2015,6397
Мужчины,Рязанская область,2016,6681
Мужчины,Рязанская область,2017,5691
Мужчины,Рязанская область,2018,5286
Мужчины,Рязанская область,2019,4684
Мужчины,Рязанская область,2020,4512
Мужчины,Смоленская область,2015,5277
Мужчины,Смоленская область,2016,5034
Мужчины,Смоленская область,2017,4481
Мужчины,Смоленская область,2018,4000
Мужчины,Смоленская область,2019,3700
Мужчины,Смоленская область,2020,3383
Мужчины,Тамбовская область,2015,5370
Мужчины,Тамбовская область,2016,5207
Мужчины,Тамбовская область,2017,4597
Мужчины,Тамбовская область,2018,4194
Мужчины,Тамбовская область,2019,4017
Мужчины,Тамбовская область,2020,3852
Мужчины,Тверская область,2015,7593
Мужчины,Тверская область,2016,7340
Мужчины,Тверская область,2017,6632
Мужчины,Тверская область,2018,5998
Мужчины,Тверская область,2019,5403
Мужчины,Тверская область,2020,5234
Мужчины,Тульская область,2015,8080
Мужчины,Тульская область,2016,7884
Мужчины,Тульская область,2017,6827
Мужчины,Тульская область,2018,6307
Мужчины,Тульская область,2019,5751
Мужчины,Тульская область,2020,5582
Мужчины,Ярославская область,2015,7907
Мужчины,Ярославская область,2016,7787
Мужчины,Ярославская область,2017,6889
Мужчины,Ярославская область,2018,6379
Мужчины,Ярославская область,2019,5716
Мужчины,Ярославская область,2020,5471
Мужчины,Москва,2015,73356
Мужчины,Москва,2016,74809
Мужчины,Москва,2017,68976
Мужчины,Москва,2018,68600
Мужчины,Москва,2019,69786
Мужчины,Москва,2020,64656
Мужчины,Республика Карелия,2015,4013
Мужчины,Республика Карелия,2016,3817
Мужчины,Республика Карелия,2017,3319
Мужчины,Республика Карелия,2018,3134
Мужчины,Республика Карелия,2019,2845
Мужчины,Республика Карелия,2020,2669
Мужчины,Республика Коми,2015,6083
Мужчины,Республика Коми,2016,5798
Мужчины,Республика Коми,2017,4891
Мужчины,Республика Коми,2018,4417
Мужчины,Республика Коми,2019,4042
Мужчины,Республика Коми,2020,3869
Мужчины,Ненецкий автономный округ,2015,402
Мужчины,Ненецкий автономный округ,2016,426
Мужчины,Ненецкий автономный округ,2017,319
Мужчины,Ненецкий автономный округ,2018,339
Мужчины,Ненецкий автономный округ,2019,310
Мужчины,Ненецкий автономный округ,2020,321
Мужчины,Архангельская область,2015,7215
Мужчины,Архангельская область,2016,6895
Мужчины,Архангельская область,2017,6001
Мужчины,Архангельская область,2018,5537
Мужчины,Архангельская область,2019,4970
Мужчины,Архангельская область,2020,4506
Мужчины,Вологодская область,2015,8334
Мужчины,Вологодская область,2016,7966
Мужчины,Вологодская область,2017,6844
Мужчины,Вологодская область,2018,6404
Мужчины,Вологодская область,2019,5715
Мужчины,Вологодская область,2020,5502
Мужчины,Калининградская область,2015,6261
Мужчины,Калининградская область,2016,6252
Мужчины,Калининградская область,2017,5577
Мужчины,Калининградская область,2018,5427
Мужчины,Калининградская область,2019,4852
Мужчины,Калининградская область,2020,4706
Мужчины,Ленинградская область,2015,8318
Мужчины,Ленинградская область,2016,8384
Мужчины,Ленинградская область,2017,7757
Мужчины,Ленинградская область,2018,7130
Мужчины,Ленинградская область,2019,6964
Мужчины,Ленинградская область,2020,6955
Мужчины,Мурманская область,2015,4703
Мужчины,Мурманская область,2016,4357
Мужчины,Мурманская область,2017,4032
Мужчины,Мурманская область,2018,3799
Мужчины,Мурманская область,2019,3369
Мужчины,Мурманская область,2020,3345
Мужчины,Новгородская область,2015,3855
Мужчины,Новгородская область,2016,3740
Мужчины,Новгородская область,2017,3234
Мужчины,Новгородская область,2018,3053
Мужчины,Новгородская область,2019,2756
Мужчины,Новгородская область,2020,2497
Мужчины,Псковская область,2015,3700
Мужчины,Псковская область,2016,3726
Мужчины,Псковская область,2017,3110
Мужчины,Псковская область,2018,3019
Мужчины,Псковская область,2019,2677
Мужчины,Псковская область,2020,2593
Мужчины,Санкт-Петербург,2015,36509
Мужчины,Санкт-Петербург,2016,37287
Мужчины,Санкт-Петербург,2017,34252
Мужчины,Санкт-Петербург,2018,32950
Мужчины,Санкт-Петербург,2019,30317
Мужчины,Санкт-Петербург,2020,28459
Мужчины,Республика Адыгея,2015,2904
Мужчины,Республика Адыгея,2016,2840
Мужчины,Республика Адыгея,2017,2436
Мужчины,Республика Адыгея,2018,2328
Мужчины,Республика Адыгея,2019,2208
Мужчины,Республика Адыгея,2020,2252
Мужчины,Республика Калмыкия,2015,1998
Мужчины,Республика Калмыкия,2016,1848
Мужчины,Республика Калмыкия,2017,1568
